transactionId,accountNumber,amount,status,description,timestamp
TXN2024062101,123456789,1000.00,Success,Deposit from client A,2024-06-26 10:15:00
TXN2024062102,987654321,-500.00,Success,Withdrawal for bill payment,2024-06-26 11:30:00
TXN2024062103,123456789,300.00,Success,Transfer to savings,2024-06-26 12:45:00
TXN2024062104,987654321,1500.00,Success,Salary credit,2024-06-26 14:00:00
TXN2024062105,123456789,-200.00,Success,ATM withdrawal,2024-06-26 15:15:00
TXN2024062106,987654321,800.00,Success,Transfer from family member,2024-06-26 16:30:00
TXN2024062107,123456789,50.00,Success,Online purchase,2024-06-26 17:45:00
TXN2024062108,987654321,-300.00,Success,Payment to credit card,2024-06-26 18:00:00
TXN2024062109,123456789,700.00,Success,Investment deposit,2024-06-26 19:15:00
TXN2024062110,987654321,-100.00,Success,Utility bill payment,2024-06-26 20:30:00
TXN2024062111,123456789,400.00,Success,Transfer to friend,2024-06-26 21:45:00
TXN2024062112,987654321,600.00,Success,Rent payment,2024-06-26 22:00:00
TXN2024062113,123456789,-150.00,Success,Shopping expense,2024-06-26 23:15:00
TXN2024062114,987654321,1000.00,Success,Bonus credit,2024-06-27 00:30:00
TXN2024062115,123456789,200.00,Success,ATM deposit,2024-06-27 01:45:00
TXN2024062116,987654321,-50.00,Success,Small loan repayment,2024-06-27 02:00:00
TXN2024062117,123456789,300.00,Success,Transfer to sibling,2024-06-27 03:15:00
TXN2024062118,987654321,400.00,Success,Interest received,2024-06-27 04:30:00
TXN2024062119,123456789,-100.00,Success,Dining expense,2024-06-27 05:45:00
TXN2024062120,987654321,700.00,Success,Gift from colleague,2024-06-27 06:00:00
TXN2024062121,123456789,800.00,Success,Home loan installment,2024-06-27 07:15:00
TXN2024062122,987654321,-200.00,Success,Car loan repayment,2024-06-27 08:30:00
TXN2024062123,123456789,600.00,Success,Travel booking,2024-06-27 09:45:00
TXN2024062124,987654321,300.00,Success,Insurance premium payment,2024-06-27 10:00:00
TXN2024062125,123456789,-250.00,Success,Healthcare expense,2024-06-27 11:15:00
TXN2024062126,987654321,200.00,Success,Donation contribution,2024-06-27 12:30:00
TXN2024062127,123456789,150.00,Success,Charity donation,2024-06-27 13:45:00
TXN2024062128,987654321,-75.00,Success,Grocery shopping,2024-06-27 14:00:00
TXN2024062129,123456789,500.00,Success,Investment fund purchase,2024-06-27 15:15:00
TXN2024062130,987654321,-50.00,Success,Movie ticket booking,2024-06-27 16:30:00
